Indicators,BNC,BPH,BUH,CAPITALBK,SOGEBK,UNIBNK,SOGEBL,CBNA,TOTAL,Parts1_fr,Parts2_fr,Parts1_en,Parts2_en,Date,Indicators_en,SCOTIA,BICH,PROMOBK,SOCABK,SOCABL,BHD ,BHD *
benefice net (perte nette),38500.18798999998,9221.849639999993,-968.9361800000042,46625,100028.89292000009,428465.9699,13033.616510000016,2186,626882.6807800005,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2012-09-01,Net profit (loss),-10209.900000000003,,,,,,
prets,132771.63906,36470.68672,48594.30763,104090,159651.03754999998,218776.13257000002,42065.964060000115,30653,826919.7675900002,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2011-09-01,Loans,53847,,,,,,
interets sur bons b.r.h.,6344.46138,216,108.40656,116,2183.98022,716.14285,0,191,9992.99101,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2011-09-01,Interest on central bank bills,117,,,,,,
autres,7653.645409999999,169.69403999999997,-4635.894770000001,3152,86589.88619000002,39727.47712,7978.070229999998,438,141782.87822000004,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2011-09-01,Other,710,,,,,,
depenses d'interet,8207.33779,961.79735,2290.69915,5085,32237.78735,15942.43494,11878.56809,2104,81221.62466999999,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2011-09-01,Interest expenses,2514,,,,,,
commissions,59092.517869999996,5937.10585,11737.82329,58377,158832.49933,183172.22605,5654.58112,19348,520633.75351,Autres revenus,Autres revenus,Other income,Other income,2011-09-01,Commission banking fees,18482,,,,,,
gains sur change,18852.956720000002,5511.11928,1225.8476500000002,16487,67493.71830999998,69829.73445999999,1849.6713900000002,18902,214225.04781,Autres revenus,Autres revenus,Other income,Other income,2011-09-01,Foreign exchange gains,14073,,,,,,
autres,51253.04771,909.3951199999999,54359.574909999996,16745,121126.5374368,374063.11046,1578.85296,3,620533.5185968,Autres revenus,Autres revenus,Other income,Other income,2011-09-01,Other,495,,,,,,
produit net bancaire,267760.93036,48252.20366,109099.36611999999,193882,563639.8716868,870342.38857,47248.571670000114,67431,2252866.3320668004,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2011-09-01,Net banking income,85210,,,,,,
dotation a la provision pour creances douteuses,17304.07386,335.48900000000003,3181.86906,5014,42493.63041,-10000,-2225.17627,0,67047.88606,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2011-09-01,Allowance for bad debts,10944,,,,,,
et impots sur le revenu,250456.8565,47916.71466,105917.49706,188868,521146.24127680005,880342.38857,49473.74794000012,67431,2185818.4460068005,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2011-09-01,Earnings before operating expenses and income tax,74266,,,,,,
salaires et avantages sociaux,152511.09771,14571.09664,32100.37616,49626,151816.85385,131799.92346000002,10106.224839999999,22713,582224.5726600001,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2011-09-01,Salaries and benefits,16980,,,,,,
frais de locaux,5591.85429,1097.71651,13143.798019999998,15316,17131.1446,17915.59283,19108.67845,5113,98644.78470000002,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2011-09-01,Premises expenses,4227,,,,,,
amortissement,4138.504690000002,1626.85761,6601.18752,7179,27232.055669999998,38134.578649999996,1816.32481,1500,90320.50895,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2011-09-01,Amortization,2092,,,,,,
autres depenses d'exploitation,83359.86801,6718.458640000001,52089.526060000004,62261,246306.17441000004,238718.32270999998,12734.94956,25008,751117.29939,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2011-09-01,Other operating expenses,23921,,,,,,
benefice avant impots sur le revenu,4855.531799999997,23902.585259999996,1982.6092999999819,54486,78660.01274679997,453773.97091999993,5707.570280000116,13097,663511.2803068005,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2011-09-01,Profit before income tax,27046,,,,,,
impots sur le revenu,0,0,0,0,16379.301150000005,21471.31521,1541.0439699999988,3936,51441.46033,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2011-09-01,Income taxes,8113.799999999999,,,,,,
benefice net (perte nette),4855.531799999997,23902.585259999996,1982.6092999999819,54486,62280.71159679996,432302.65570999996,4166.5263100001175,9161,612069.8199768005,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2011-09-01,Net profit (loss),18932.2,,,,,,
prets,136675.55951,22836.80304,46656.58727,90282,168495.12797000003,217334.24348,39531.449020000015,34605,806337.77029,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2010-09-01,Loans,49921,0,,,,,
interets sur bons b.r.h.,6429.82705,249.2827,408.80600000000004,327,8453.965549999997,3639.14293,0,244,19976.024229999995,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2010-09-01,Interest on central bank bills,224,0,,,,,
autres,1771.0527699999998,147.9318,1557.78384,2597,72394.82454999998,29044.18894,9272.346240000006,794,118373.12813999999,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2010-09-01,Other,794,0,,,,,
depenses d'interet,10941.935529999999,1635.6495099999997,2155.8406999999997,5236,36972.111659999995,49568.051719999996,12561.941840000001,1910,126238.53095999999,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2010-09-01,Interest expenses,5257,0,,,,,
commissions,42350.37415,3259.59352,10846.85571,36067,208506.89916,165687.13920000003,3375.3189599999996,21063,508030.1807,Autres revenus,Autres revenus,Other income,Other income,2010-09-01,Commission banking fees,16874,0,,,,,
gains sur change,9654.37535,2146.98537,3000.80798,12227,54457.89418999999,67237.42903,-1120.5872100000001,15141,171953.90471,Autres revenus,Autres revenus,Other income,Other income,2010-09-01,Foreign exchange gains,9209,0,,,,,
autres,296250.1962,457.54555,12741.165529999998,8698,113030.26654000001,400536.28043,5837.899840000001,641,831570.3540899999,Autres revenus,Autres revenus,Other income,Other income,2010-09-01,Other,-6622,0,,,,,
produit net bancaire,482189.44950000005,27462.492469999997,73056.16563,144962,588366.8663000001,833910.3722900001,44334.48501000002,70578,2330002.8312,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2010-09-01,Net banking income,65143,0,,,,,
dotation a la provision pour creances douteuses,25000,-1638.81265,109.20184,3614,27615.856890000014,2500,17476.41053,3655,95879.35661,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2010-09-01,Allowance for bad debts,17547.699999999997,0,,,,,
et impots sur le revenu,457189.44950000005,29101.305119999997,72946.96379000001,141348,560751.00941,831410.3722900001,26858.074480000018,66923,2234123.4745899998,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2010-09-01,Earnings before operating expenses and income tax,47595.3,0,,,,,
salaires et avantages sociaux,115854.71859,14908.182669999998,24962.389329999998,38582,135643.12366999997,159558.74807,8582.15299,29725,541771.3153199999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2010-09-01,Salaries and benefits,13955,0,,,,,
frais de locaux,9380.17949,900.74659,11297.43963,13727,15037.75718,13786.82572,3984.97012,1846,74127.91873,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2010-09-01,Premises expenses,4167,0,,,,,
amortissement,-3320.3304200000002,1885.68739,4811.395599999999,6730,44425.41278,30247.686,2337.83372,1869,90874.68506999999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2010-09-01,Amortization,1888,0,,,,,
autres depenses d'exploitation,183384.81852,13847.77911,36600.38806,64540,177715.7568,109403.38501999999,7672.08213,18997,637664.20964,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2010-09-01,Other operating expenses,25503,0,,,,,
benefice avant impots sur le revenu,151890.06332000002,-2441.090640000002,-4724.648829999991,17769,187928.9589800001,518413.7274800001,4281.035520000016,14486,889685.3458299998,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2010-09-01,Profit before income tax,2082.300000000003,0,,,,,
impots sur le revenu,0,0,0,0,40565.67278,6453.156489999998,-521.8529099999996,-24351,27009.876360000002,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2010-09-01,Income taxes,4863.9,0,,,,,
benefice net (perte nette),151890.06332000002,-2441.090640000002,-4724.648829999991,17769,147363.28620000012,511960.5709900001,4802.888430000015,38837,862675.4694699998,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2010-09-01,Net profit (loss),-2781.5999999999967,0,,,,,
prets,146800,23654.4,64033.7,82117,201101.8,229723.8,38750.2,75090,929929.8999999999,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2008-12-01,Loans,68659,0,,,,,
interets sur bons b.r.h.,62508.1,4723.7,5565.9,5019,74608.6,49393.3,68.4,628,203384.99999999997,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2008-12-01,Interest on central bank bills,870,0,,,,,
autres,11049.5,83.2,279.9,4367,61516.9,37902.8,13667.2,977,132022.5,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2008-12-01,Other,2179,0,,,,,
depenses d'interet,33906,5345.8,9151.6,6819,77129.8,52832.9,18304.4,13681,232460.5,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2008-12-01,Interest expenses,15290,0,,,,,
commissions,35553.1,5511,12138.5,25190,108252,76248.1,1724.3,14537,286256,Autres revenus,Autres revenus,Other income,Other income,2008-12-01,Commission banking fees,7102,0,,,,,
gains sur change,13289.2,1629.7,8066.4,12576,54053.2,40376.7,1565.1,10936,150416.3,Autres revenus,Autres revenus,Other income,Other income,2008-12-01,Foreign exchange gains,7924,0,,,,,
autres,3259.9,601.1,5972,3680,53981,107423.1,557.7,-335,172332.80000000002,Autres revenus,Autres revenus,Other income,Other income,2008-12-01,Other,-2807,0,,,,,
produit net bancaire,238553.80000000002,30857.300000000003,86904.79999999999,126130,476383.70000000007,488234.89999999997,38028.5,88152,1641882,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2008-12-01,Net banking income,68637,0,,,,,
dotation a la provision pour creances douteuses,10000,1065.1,11096.1,3808,31252.9,7500,2463.9,48339,138515,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2008-12-01,Allowance for bad debts,22990,0,,,,,
et impots sur le revenu,228553.80000000002,29792.200000000004,75808.69999999998,122322,445130.80000000005,480734.89999999997,35564.6,39813,1503367,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2008-12-01,Earnings before operating expenses and income tax,45647,0,,,,,
salaires et avantages sociaux,80540.8,15994.1,31576.8,35083,131735.6,142355.7,8267.5,14958,479778.50000000006,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2008-12-01,Salaries and benefits,19267,0,,,,,
frais de locaux,7818.9,815.1,8735.1,10158,14383.4,16146.1,2425.6,3734,68042.2,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2008-12-01,Premises expenses,3826,0,,,,,
amortissement,16350.5,2648.6,12927.5,7374,34236.1,35114.5,1074.4,2404,115634.59999999999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2008-12-01,Amortization,3505,0,,,,,
autres depenses d'exploitation,79512.4,8043.9,25893.9,45054,161980.4,160174,11198.3,17439,543079.8999999999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2008-12-01,Other operating expenses,33784,0,,,,,
benefice avant impots sur le revenu,44331.20000000004,2290.5000000000073,-3324.6000000000204,24653,102795.30000000005,126944.59999999992,12598.8,1278,296831.80000000005,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2008-12-01,Profit before income tax,-14735,0,,,,,
impots sur le revenu,0,0,-997.2,0,18821.1,34274.8,3401.6,22896,82080.29999999999,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2008-12-01,Income taxes,3684,0,,,,,
benefice net (perte nette),44331.20000000004,2290.5000000000073,-2327.4000000000206,24653,83974.20000000004,92669.79999999992,9197.199999999999,-21618,214751.50000000006,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2008-12-01,Net profit (loss),-18419,0,,,,,
prets,122562.2,20493.7,73598.5,69098,217292.4,198612.2,33518.5,68324,876624.5,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2007-12-01,Loans,73125,0,,,,,
interets sur bons b.r.h.,56225.9,3864.9,2053.4,5226,49952.3,45270.6,0,4912,167580.1,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2007-12-01,Interest on central bank bills,75,0,,,,,
autres,10978.5,641.1,1333.9,9081,64320.9,52433.2,17336.4,2450,160158.99999999997,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2007-12-01,Other,1584,0,,,,,
depenses d'interet,42918.1,6723.4,12718.6,12459,114268.7,83045.8,24538.5,22851,333131.1,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2007-12-01,Interest expenses,13608,0,,,,,
commissions,31697.5,3968,14380,16892,84271.4,55052.2,2057.4,13875,230714.49999999997,Autres revenus,Autres revenus,Other income,Other income,2007-12-01,Commission banking fees,8521,0,,,,,
gains sur change,17625.3,14089.7,4309.7,15257,54959,48585.2,1095.8,11587,176056.69999999998,Autres revenus,Autres revenus,Other income,Other income,2007-12-01,Foreign exchange gains,8548,0,,,,,
autres,11840.9,891.5,3727.4,1704,47784,102140.3,1317.8,-346,168835.9,Autres revenus,Autres revenus,Other income,Other income,2007-12-01,Other,-224,0,,,,,
produit net bancaire,208012.2,37225.5,86684.29999999999,104799,404311.30000000005,419047.9,30787.4,77951,1446839.5999999999,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2007-12-01,Net banking income,78021,0,,,,,
dotation a la provision pour creances douteuses,0,2706.2,10588.5,3547,14358.4,0,2327.9,0,25870,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2007-12-01,Allowance for bad debts,-7658,0,,,,,
et impots sur le revenu,208012.2,34519.3,76095.79999999999,101252,389952.9,419047.9,28459.5,77951,1420969.5999999999,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2007-12-01,Earnings before operating expenses and income tax,85679,0,,,,,
salaires et avantages sociaux,68833.4,15704.8,34563.3,30334,113434.9,130736.6,8166.7,14930,436725.7,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2007-12-01,Salaries and benefits,20022,0,,,,,
frais de locaux,9035,678.8,7464.9,10194,13891.2,13236.2,2464.4,3666,64025.49999999999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2007-12-01,Premises expenses,3395,0,,,,,
amortissement,16159.2,2833.5,9760.7,6767,30139.9,29658.5,1199.2,3076,102815,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2007-12-01,Amortization,3221,0,,,,,
autres depenses d'exploitation,49497,9964.5,28414.3,43627,144189.9,133379.2,7460,33932,479418.89999999997,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2007-12-01,Other operating expenses,28955,0,,,,,
benefice avant impots sur le revenu,64487.600000000035,5337.700000000004,-4107.400000000023,10330,88297,112037.40000000002,9169.199999999997,22347,337984.5,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2007-12-01,Profit before income tax,30086,0,,,,,
impots sur le revenu,0,0,-1232.1,0,17507.7,31258.4,2475.6,13241,72276.4,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2007-12-01,Income taxes,9025.8,0,,,,,
benefice net (perte nette),64487.600000000035,5337.700000000004,-2875.3000000000234,10330,70789.3,80779.00000000003,6693.599999999997,9106,265708.1,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2007-12-01,Net profit (loss),21060.2,0,,,,,
prets,46809.8,22035.9,56749.4,71072,237906.9,204481.1,31924.7,80210,857654.7999999999,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2006-12-01,Loans,47955,0,0,58510,0,,
interets sur bons b.r.h.,131372,3716.9,8180.2,8824,101594.4,56595.1,0,3489,340095.6,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2006-12-01,Interest on central bank bills,0,0,0,26324,0,,
autres,10441,0,2062.4,8078,60908.3,63444.2,16550.3,2518,170988.2,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2006-12-01,Other,4060,0,0,2926,0,,
depenses d'interet,26250,5697.8,10396.8,15103,131623.1,133954.1,20016.4,24740,407705.70000000007,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2006-12-01,Interest expenses,8082,0,0,31842.5,0,,
commissions,19001,3078.7,15680,20256,80630.5,58146,2256.8,12136,232002.89999999997,Autres revenus,Autres revenus,Other income,Other income,2006-12-01,Commission banking fees,7989,0,0,12828.9,0,,
gains sur change,10750,11727.8,5065.2,16101,41429,31488.6,926.2,11510,137130.90000000002,Autres revenus,Autres revenus,Other income,Other income,2006-12-01,Foreign exchange gains,3977,0,0,4156.1,0,,
autres,2841,71.6,3507,26,56940.8,82313.5,450.9,-734,145745.4,Autres revenus,Autres revenus,Other income,Other income,2006-12-01,Other,69,0,0,259.6,0,,
produit net bancaire,194964.8,34933.100000000006,80847.4,109254,447786.8,362514.4,32092.5,84389,1475912.0999999996,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2006-12-01,Net banking income,55968,0,0,73162.1,0,,
dotation a la provision pour creances douteuses,0,2500.8,4500,5432,20752.1,0,-4246,0,33750.899999999994,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2006-12-01,Allowance for bad debts,4812,0,0,0,0,,
et impots sur le revenu,194964.8,32432.300000000007,76347.4,103822,427034.7,362514.4,36338.5,84389,1442161.1999999997,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2006-12-01,Earnings before operating expenses and income tax,51156,0,0,73162.1,0,,
salaires et avantages sociaux,50442,13811.2,31692,28333,105633.6,108848.7,6676,17227,401939.3,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2006-12-01,Salaries and benefits,19080,0,0,20195.8,0,,
frais de locaux,2989,631.4,8495.7,10318,15727.6,11984.9,2590.6,3920,64660.1,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2006-12-01,Premises expenses,3628,0,0,4374.9,0,,
amortissement,8405,2819.6,9239.8,6439,29965.3,22975.2,1278.6,3345,96082.2,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2006-12-01,Amortization,3780,0,0,7834.7,0,,
autres depenses d'exploitation,29748,11573.3,29970.4,38375,138486.1,120420.8,7857.3,22745,448117.19999999995,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2006-12-01,Other operating expenses,21064,0,0,27877.3,0,,
benefice avant impots sur le revenu,103380.79999999999,3596.8000000000065,-3050.5,20357,137222.10000000003,98284.80000000005,17936,37152,431362.3999999998,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2006-12-01,Profit before income tax,3604,0,0,12879.400000000009,0,,
impots sur le revenu,0,0,-915.1,0,28886.4,26536.9,4842.7,6853,68505.2,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2006-12-01,Income taxes,2301.3,0,0,0,0,,
benefice net (perte nette),103380.79999999999,3596.8000000000065,-2135.4,20357,108335.70000000004,71747.90000000005,13093.3,30299,362857.1999999998,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2006-12-01,Net profit (loss),1302.6999999999998,0,0,12879.400000000009,0,,
prets,169067.3,21609.9,58182.3,83224,201503.2,209925.8,45195.2,75867,923190.7,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2009-03-01,Loans,58616,0,,,,,
interets sur bons b.r.h.,54455.4,3308.3,3238.2,4031,57978.3,40759.8,0,786,165614,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2009-03-01,Interest on central bank bills,1057,0,,,,,
autres,2882.7,198.5,1655.9,6091,51364.9,48650.1,13274.9,177,126059,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2009-03-01,Other,1764,0,,,,,
depenses d'interet,19948.4,4456.2,7779.1,6946,68632.5,38592.6,16727.1,12744,185445.90000000002,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2009-03-01,Interest expenses,9620,0,,,,,
commissions,26594.4,4092.6,29060.1,21661,112311.1,78327.8,2448.9,11097,292987.9,Autres revenus,Autres revenus,Other income,Other income,2009-03-01,Commission banking fees,7395,0,,,,,
gains sur change,10581.8,1795.9,2585.5,12347,46234.5,39171.1,1932.7,11561,132818.5,Autres revenus,Autres revenus,Other income,Other income,2009-03-01,Foreign exchange gains,6609,0,,,,,
autres,19660.6,802.6,5955.8,3335,73627.2,143318.3,758.5,0,247319,Autres revenus,Autres revenus,Other income,Other income,2009-03-01,Other,-139,0,,,,,
produit net bancaire,263293.8,27351.6,92898.70000000001,123743,474386.7,521560.29999999993,46883.1,86744,1702543.2,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2009-03-01,Net banking income,65682,0,,,,,
dotation a la provision pour creances douteuses,12500,1090.8,8570.7,3876,29102.9,7500,15585.4,11769,92559.1,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2009-03-01,Allowance for bad debts,2564.3,0,,,,,
et impots sur le revenu,250793.8,26260.8,84328.00000000001,119867,445283.8,514060.29999999993,31297.699999999997,74975,1609984.0999999999,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2009-03-01,Earnings before operating expenses and income tax,63117.7,0,,,,,
salaires et avantages sociaux,82297.8,15900.5,27521.5,36340,139179.9,148258.8,8600.8,23898,489675.29999999993,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2009-03-01,Salaries and benefits,7678,0,,,,,
frais de locaux,7730.6,817.2,8143.2,11577,14395.3,15696.6,2431.5,3626,68251.4,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2009-03-01,Premises expenses,3834,0,,,,,
amortissement,16295,2477,12307.2,7374,34687.7,34987.1,1116.4,2285,114845.4,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2009-03-01,Amortization,3316,0,,,,,
autres depenses d'exploitation,76447,6919.7,26133,48369,176204.9,151049.2,8912.4,23853,545470.2,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2009-03-01,Other operating expenses,27582,0,,,,,
benefice avant impots sur le revenu,68023.39999999997,146.39999999999782,10223.10000000002,16207,80816.00000000006,164068.59999999992,10236.599999999999,21313,391741.80000000005,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2009-03-01,Profit before income tax,20707.699999999997,0,,,,,
impots sur le revenu,0,0,3066.5,0,12663.2,23370.5,2763.9,9991,60256.899999999994,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2009-03-01,Income taxes,8401.8,0,,,,,
benefice net (perte nette),68023.39999999997,146.39999999999782,7156.60000000002,16207,68152.80000000006,140698.09999999992,7472.699999999999,11322,331484.9,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2009-03-01,Net profit (loss),12305.899999999998,0,,,,,
prets,86425.7,15700.6,72074.2,71202,208146.5,203337.5,40099.3,64623,835387.8,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2008-03-01,Loans,73779,0,,,,,
interets sur bons b.r.h.,37106.7,2082.3,1283.8,1629,29950.6,27120.1,0,962,100134.5,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2008-03-01,Interest on central bank bills,0,0,,,,,
autres,11105.3,875.1,866.8,6445,57098.3,51902.3,13896.8,1605,145456.6,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2008-03-01,Other,1662,0,,,,,
depenses d'interet,29969.3,5701.4,13510.4,10069,82790.4,63345.5,20979.1,13457,246856.1,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2008-03-01,Interest expenses,7034,0,,,,,
commissions,38841.6,2858.6,13345.5,16034,99402.3,75287.2,2762.3,17194,273714.5,Autres revenus,Autres revenus,Other income,Other income,2008-03-01,Commission banking fees,7989,0,,,,,
gains sur change,12217.2,14935.3,3216.4,16114,51074.6,37080.3,2583.6,10492,154507.4,Autres revenus,Autres revenus,Other income,Other income,2008-03-01,Foreign exchange gains,6794,0,,,,,
autres,9289,805,6213.3,20873,75023.7,122849,452.7,510,236322.7,Autres revenus,Autres revenus,Other income,Other income,2008-03-01,Other,307,0,,,,,
produit net bancaire,165016.19999999998,31555.5,83489.6,122228,437905.6,454230.9,38815.600000000006,81929,1498667.4000000004,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2008-03-01,Net banking income,83497,0,,,,,
dotation a la provision pour creances douteuses,0,2213.8,12344.9,4034,17487,0,7482,0,46607.899999999994,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2008-03-01,Allowance for bad debts,3046.2,0,,,,,
et impots sur le revenu,165016.19999999998,29341.7,71144.70000000001,118194,420418.6,454230.9,31333.600000000006,81929,1452059.5000000005,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2008-03-01,Earnings before operating expenses and income tax,80450.8,0,,,,,
salaires et avantages sociaux,73085.8,15183.3,34575.3,33337,128143.8,141547.1,8837.7,28586,470531.00000000006,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2008-03-01,Salaries and benefits,7235,0,,,,,
frais de locaux,9770.8,677.4,9583.9,10220,13563.6,13734.9,2235.2,3651,66889.79999999999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2008-03-01,Premises expenses,3453,0,,,,,
amortissement,17184.4,2866.2,8930,6927,31030.6,31106.5,1190.1,2076,104250.80000000002,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2008-03-01,Amortization,2940,0,,,,,
autres depenses d'exploitation,50717,6867.3,29089.4,43998,163176.4,143933.3,6176.5,19078,483225.89999999997,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2008-03-01,Other operating expenses,20190,0,,,,,
benefice avant impots sur le revenu,14258.199999999983,3747.5000000000036,-11033.899999999994,23712,84504.19999999995,123909.10000000003,12894.100000000006,28538,327162.00000000047,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2008-03-01,Profit before income tax,46632.8,0,,,,,
impots sur le revenu,0,0,-3310.1,0,11436.1,37678.9,3481.4,8647,71923.1,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2008-03-01,Income taxes,13989.8,0,,,,,
benefice net (perte nette),14258.199999999983,3747.5000000000036,-7723.799999999994,23712,73068.09999999995,86230.20000000004,9412.700000000006,19891,255238.90000000046,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2008-03-01,Net profit (loss),32643.000000000004,0,,,,,
