Date,Banks,Indicator
2002-06-01,BICH,10.0
2002-09-01,BICH,10.0
2002-12-01,BICH,9.0
2003-03-01,BICH,10.0
2003-06-01,BICH,9.0
2003-09-01,BICH,10.0
2003-12-01,BICH,10.0
2004-03-01,BICH,8.0
2004-06-01,BICH,9.0
2004-09-01,BICH,9.0
2004-12-01,BICH,10.0
2005-03-01,BICH,10.0
2005-06-01,BICH,9.0
2005-09-01,BICH,9.0
2005-12-01,BICH,9.0
2006-03-01,BICH,9.0
2006-06-01,BICH,0.0
2006-09-01,BICH,0.0
2006-12-01,BICH,0.0
2007-03-01,BICH,0.0
2007-06-01,BICH,0.0
2007-09-01,BICH,0.0
2007-12-01,BICH,0.0
2008-03-01,BICH,0.0
2008-06-01,BICH,0.0
2008-09-01,BICH,0.0
2008-12-01,BICH,0.0
2009-03-01,BICH,0.0
2009-06-01,BICH,0.0
2009-09-01,BICH,0.0
2009-12-01,BICH,0.0
2010-03-01,BICH,0.0
2010-06-01,BICH,0.0
2010-09-01,BICH,0.0
2010-12-01,BICH,0.0
2011-03-01,BICH,0.0
2011-06-01,BICH,0.0
2011-09-01,BICH,0.0
2011-12-01,BICH,0.0
2012-03-01,BICH,0.0
2012-06-01,BICH,0.0
2012-09-01,BICH,0.0
2012-12-01,BICH,0.0
2013-03-01,BICH,0.0
2013-06-01,BICH,0.0
2013-09-01,BICH,0.0
2013-12-01,BICH,0.0
2014-03-01,BICH,0.0
2014-06-01,BICH,0.0
2014-09-01,BICH,0.0
2014-12-01,BICH,0.0
2015-03-01,BICH,0.0
2015-06-01,BICH,0.0
2015-09-01,BICH,0.0
2015-12-01,BICH,0.0
2016-03-01,BICH,0.0
2016-06-01,BICH,0.0
2016-09-01,BICH,0.0
2016-12-01,BICH,0.0
2017-03-01,BICH,0.0
2017-06-01,BICH,0.0
2017-09-01,BICH,0.0
2017-12-01,BICH,0.0
2018-03-01,BICH,0.0
2018-06-01,BICH,0.0
2018-09-01,BICH,0.0
2018-12-01,BICH,0.0
1998-09-01,BNC,543.0
1998-12-01,BNC,452.0
1999-03-01,BNC,454.0
1999-06-01,BNC,452.0
1999-09-01,BNC,316.0
1999-12-01,BNC,233.0
2000-03-01,BNC,233.0
2000-06-01,BNC,195.0
2000-09-01,BNC,213.0
2000-12-01,BNC,213.0
2001-03-01,BNC,238.0
2001-06-01,BNC,214.0
2001-09-01,BNC,208.0
2001-12-01,BNC,194.0
2002-03-01,BNC,215.0
2002-06-01,BNC,231.0
2002-09-01,BNC,237.0
2002-12-01,BNC,243.0
2003-03-01,BNC,261.0
2003-06-01,BNC,260.0
2003-09-01,BNC,269.0
2003-12-01,BNC,270.0
2004-03-01,BNC,287.0
2004-06-01,BNC,293.0
2004-09-01,BNC,293.0
2004-12-01,BNC,308.0
2005-03-01,BNC,308.0
2005-06-01,BNC,350.0
2005-09-01,BNC,350.0
2005-12-01,BNC,305.0
2006-03-01,BNC,306.0
2006-06-01,BNC,329.0
2006-09-01,BNC,314.0
2006-12-01,BNC,323.0
2007-03-01,BNC,737.0
2007-06-01,BNC,677.0
2007-09-01,BNC,884.0
2007-12-01,BNC,526.0
2008-03-01,BNC,526.0
2008-06-01,BNC,494.0
2008-09-01,BNC,545.0
2008-12-01,BNC,525.0
2009-03-01,BNC,518.0
2009-06-01,BNC,570.0
2009-09-01,BNC,560.0
2009-12-01,BNC,560.0
2010-03-01,BNC,511.0
2010-06-01,BNC,503.0
2010-09-01,BNC,496.0
2010-12-01,BNC,489.0
2011-03-01,BNC,480.0
2011-06-01,BNC,493.0
2011-09-01,BNC,490.0
2011-12-01,BNC,547.0
2012-03-01,BNC,543.0
2012-06-01,BNC,535.0
2012-09-01,BNC,531.0
2012-12-01,BNC,583.0
2013-03-01,BNC,568.0
2013-06-01,BNC,575.0
2013-09-01,BNC,574.0
2013-12-01,BNC,575.0
2014-03-01,BNC,635.0
2014-06-01,BNC,626.0
2014-09-01,BNC,655.0
1998-09-01,BPH,102.0
1998-12-01,BPH,111.0
1999-03-01,BPH,105.0
1999-06-01,BPH,106.0
1999-09-01,BPH,107.0
1999-12-01,BPH,111.0
2000-03-01,BPH,110.0
2000-06-01,BPH,105.0
2000-09-01,BPH,103.0
2000-12-01,BPH,102.0
2001-03-01,BPH,100.0
2001-06-01,BPH,98.0
2001-09-01,BPH,96.0
2001-12-01,BPH,99.0
2002-03-01,BPH,99.0
