Indicators,BNC  ,BPH,BUH,CAPITALBK,SOGEBK,UNIBNK,SOGEBL,CBNA,TOTAL,Parts1_fr,Parts2_fr,Parts1_en,Parts2_en,Date,SCOTIA,BICH,SOCABK,PROMOBK,SOCABL,BHD *,BHD 
OBLIGATIONS_À_TERME_autres,4420466,921136.55026,165227.964999355,83079,691012.4014900001,696630.2493607949,247482.04515000002,84854,7309888.21126015,Passif,Obligations à terme,Liability,Term bonds,2020-12-01,,,,,,,
AUTRES_PASSIFS_autres_passifs,1019180,22264.03391,288059.84885699,726047,3231768.6579099996,1281150.409685595,251688.19410000002,0,6820158.1444625845,Passif,Autres passifs,Liability,Other liabilities,2020-12-01,,,,,,,
FONDS_PROPRES_capital_verse,3000000,165000,726311.76157,810000,3000000,6322075,300000,103837,14427223.76157,Fonds propres,Fonds propres,Equity,Equity,2020-12-01,,,,,,,
FONDS_PROPRES_reserves,1148549,126300.688,222839.40772999998,362874,1754893.6018700004,2079900.0328799998,302502.72959999996,59288,6057147.460080001,Fonds propres,Fonds propres,Equity,Equity,2020-12-01,,,,,,,
FONDS_PROPRES_reserves_(prov._pour_pertes_sur_prets),228000,0,0,0,0,0,0,0,228000,Fonds propres,Fonds propres,Equity,Equity,2020-12-01,,,,,,,
FONDS_PROPRES_surplus_d'apport,0,187425,1159346.97086,1384,0,0,0,0,1348155.97086,Fonds propres,Fonds propres,Equity,Equity,2020-12-01,,,,,,,
FONDS_PROPRES_bnr,4062960,-792995.915,907341.2967700001,2317062,4230175.759689999,3462443.8872599998,263313.45255,299706,14750006.481269997,Fonds propres,Fonds propres,Equity,Equity,2020-12-01,,,,,,,
HORS-BILAN_effets_a_l'encaissement,897957.2,0,0,0,28691.52546,4168.475612863,0,0,930817.201072863,Hors-bilan,Hors-bilan,Off-balance sheet,Off-balance sheet,2020-12-01,,,,,,,
HORS-BILAN_credit_documentaire,77573.3,0,0,0,1398947.7501700001,1225559.652158655,0,0,2702080.702328655,Hors-bilan,Hors-bilan,Off-balance sheet,Off-balance sheet,2020-12-01,,,,,,,
HORS-BILAN_autres,4388082.1,181800.15070819,2721752.42022182,210415,8740937.563310003,905028.275034035,478427.62514,623484.92686,18249928.061274048,Hors-bilan,Hors-bilan,Off-balance sheet,Off-balance sheet,2020-12-01,,,,,,,
PORTEFEUILLE_DE_CRÉDIT_portefeuille_brut,21956998.77216,1112945.52394,12807101.244374536,9009453,33835944.831870005,32589651.6021,4426131.736409999,357284,116095510.71085453,Portefeuille de crédit,Portefeuille de crédit,Loan portfolio,Loan portfolio,2020-12-01,,,,,,,
PROVISIONS_POUR_CRÉANCES_DOUTEUSES_provisions_pour_creances_douteuses,2407267,925527.83743,536804.580259235,308205,1475449.62803,891801.57662,157627.75825,0,6702683.380589236,Provisions pour créances douteuses,Provisions pour créances douteuses,Allowance for bad debts,Allowance for bad debts,2020-12-01,,,,,,,
PORTEFEUILLE_DE_CRÉDIT_IMPRODUCTIF_portefeuille_de_credit_improductif,3409230,907341.331572175,218354.462552695,85794,1184335,265958.4485,165377.46797,0,6236390.710594869,Portefeuille de crédit improductif,Portefeuille de crédit improductif,Non performing loan,Non performing loan,2020-12-01,,,,,,,
DÉPÔTS_EN_USD_CONVERTIS_EN_HTG_depots_us_convertis,25690272.49541033,1837947.1656400003,15934475.240392664,16546768,52755292.99013328,72443814.7257399,3597064.54382,2163889,190969524.16113618,Dépôts en USD convertis en HTG,Dépôts en USD convertis en HTG,Deposit in US converted in HTG,Deposit in US converted in HTG,2020-12-01,,,,,,,
ACTIF_LIQUIDE_encaisse,10219347,293214.81256,1064538.969822606,769587,3880931.9773700004,1929812.1157411272,60793.504,82525,18300750.379493732,Actif,Actif liquide,Asset,Liquid asset,2019-03-01,,,,,,,
ACTIF_LIQUIDE_avoirs_a_la_brh,18142235,1135517.7644500001,8656885.216607684,9147558,34535765.91595,47466999.96711744,1530229.82851,3693203,124308394.69263512,Actif,Actif liquide,Asset,Liquid asset,2019-03-01,,,,,,,
ACTIF_LIQUIDE_avoirs_a_l'etranger,1090825,232343.79689,1097033.031506002,2945009,2735106.4589,6276708.831676748,0,1049356,15426382.118972749,Actif,Actif liquide,Asset,Liquid asset,2019-03-01,,,,,,,
ACTIF_LIQUIDE_avoirs_dans_les_banques_locales,0,0,20629.760199634,1473,9803.645629999999,0,56237.67116,0,88144.07698963399,Actif,Actif liquide,Asset,Liquid asset,2019-03-01,,,,,,,
ACTIF_LIQUIDE_autres_liquidites,416675,34550.39956,121396.47731007599,347994,215705.66144999999,889524.7425957681,17735.44137,38825,2082406.722285844,Actif,Actif liquide,Asset,Liquid asset,2019-03-01,,,,,,,
ACTIF_ILLIQUIDE_bons_b.r.h.,4100000,565000,200000,0,0,0,0,0,4865000,Actif,Actif illiquide,Asset,Non-liquid asset,2019-03-01,,,,,,,
ACTIF_ILLIQUIDE_bons_du_tresor_/_m.e.f.,8750000,355995.12749,0,0,0,418365.78854,0,0,9524360.91603,Actif,Actif illiquide,Asset,Non-liquid asset,2019-03-01,,,,,,,
ACTIF_ILLIQUIDE_autres_placements,10059588,31089.33607,283318.86777200404,1744887,17879676.08301,28865326.476836205,851105.37952,0,59714991.143208206,Actif,Actif illiquide,Asset,Non-liquid asset,2019-03-01,,,,,,,
ACTIF_ILLIQUIDE_portefeuille_net,17556756.5,722392.17602,13298521.815699294,10321864,31577300.622840002,35450421.88017,4495599.1914099995,503049,113925905.1861393,Actif,Actif illiquide,Asset,Non-liquid asset,2019-03-01,,,,,,,
ACTIF_ILLIQUIDE_immobilisations,2132170.5222099996,319366.44593000005,891251.38105,785314,2849426.6692399997,2445558.427,542703.82237,295096,10260887.2678,Actif,Actif illiquide,Asset,Non-liquid asset,2019-03-01,,,,,,,
ACTIF_ILLIQUIDE_autres_actifs,2496428,271507.22206,365277.9635391539,1128326,5531250.350039999,3459026.49538748,174556.97959,31161,13457534.010616632,Actif,Actif illiquide,Asset,Non-liquid asset,2019-03-01,,,,,,,
DÉPÔT_a_vue,30208280,1592597.74068,7110121.93054528,9139395,33195265.592683624,43251630.092411,1823062.3843899998,3711308,130031660.7407099,Passif,Dépôt,Liability,Deposit,2019-03-01,,,,,,,
DÉPÔT_epargne,19185109,421417.02674,3667433.95188314,5024319,26436872.480796922,40150733.39453196,745251.48041,500470,96131606.33436202,Passif,Dépôt,Liability,Deposit,2019-03-01,,,,,,,
DÉPÔT_a_terme,9276546,1580947.6429599999,7903569.770139838,7963769,20190589.18565865,24601156.218195956,2036690.8854,44318,73597586.70235445,Passif,Dépôt,Liability,Deposit,2019-03-01,,,,,,,
OBLIGATIONS_À_VUE_banques_locales,0,0,0,0,0,0,0,0,0,Passif,Obligations à vue,Liability,Demand bonds,2019-03-01,,,,,,,
OBLIGATIONS_À_VUE_banques_a_l'etranger,0,0,0,0,0,0,0,0,0,Passif,Obligations à vue,Liability,Demand bonds,2019-03-01,,,,,,,
OBLIGATIONS_À_VUE_autres,2391094,137439.4435,1745932.8454975758,848131,3183620.3255,1683510.2548142478,176817.01948,894863,11061407.888791824,Passif,Obligations à vue,Liability,Demand bonds,2019-03-01,,,,,,,
OBLIGATIONS_À_TERME_banques_locales,2113040,49999.99984,2327536.13412,622163,4924646.97991,3023024.35248,2023255.64181,0,15083666.10816,Passif,Obligations à terme,Liability,Term bonds,2019-03-01,,,,,,,
OBLIGATIONS_À_TERME_banque_a_l'etranger,0,0,0,0,1040299.0017799999,0,0,0,1040299.0017799999,Passif,Obligations à terme,Liability,Term bonds,2019-03-01,,,,,,,
